symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"confusion, burns, difficulty breathing, muscle pain",Electrocution,Antibiotics,Brahmi,Check breathing and pulse,Turn off power source before helping and seek immediate medical attention,Yes
"discomfort, abdominal pain, tenderness, bloating",Stomach Pain,Paracetamol,Ajwain,Ginger tea,Most stomach pain improves with rest and dietary modifications,No
"sunken eyes, rapid heartbeat",Severe Dehydration,IV Fluids,Narikela Jala,Call emergency,Severe dehydration requires immediate IV fluid replacement,Yes
"rapid heartbeat, extreme thirst, no urination, confusion",Severe Dehydration,IV Fluids,ORS,Call emergency,Severe dehydration requires immediate IV fluid replacement,Yes
"severe pain, charred skin, blisters",Severe Burns,Antibiotics,Yashtimadhu,Cover with clean cloth,Severe burns need immediate medical attention to prevent complications,Yes
"collapse, no breathing",Cardiac Arrest,Atropine,Arjuna,Continue until help arrives,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"chest tightness, sweating, wheezing",Severe Asthma Attack,Theophylline,Bharangyadi Kwath,Sit upright,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"joint stiffness, reduced mobility, pain with movement, swelling, warmth in joints",Joint Pain,Diclofenac,Boswellia,Hot and cold therapy,Regular exercise and weight management help preserve joint health,No
"nausea, not feeling hungry, early satiety, weight loss, food aversion",Loss of Appetite,Digestive Enzymes,Chitrak,Pleasant food presentation,Eat small frequent meals and include favorite foods to stimulate appetite,No
"hearing difficulty, discharge, ear ache, ringing",Ear Pain,Antibiotics,Nirgundi,Avoid water in ears,Most ear pain resolves with proper treatment and care,No
"tenderness, bleeding, swelling, gum ache, bad breath",Gum Pain,Professional Cleaning,Khadira,Antiseptic mouthwash,Good oral hygiene prevents most gum problems,No
"ankle ache, tenderness, difficulty walking, swelling, stiffness",Ankle Pain,Paracetamol,Nirgundi,Elevation,Most ankle injuries heal with rest and appropriate care,No
"headache, neck stiffness, pain turning head",Neck Pain,Ibuprofen,Rasna,Avoid sudden movements,Maintain good posture and use ergonomic workstation setup,No
"swelling, sensitivity, throbbing pain",Tooth Pain,Antiseptic Mouthwash,Akarkara,Salt water rinse,See dentist promptly for proper diagnosis and treatment,No
